iter	Passed	Remaining
420	2278	3133
421	2283	3127
422	2287	3120
423	2293	3115
424	2298	3109
425	2304	3104
426	2309	3098
427	2314	3093
428	2319	3087
429	2325	3082
430	2330	3077
431	2336	3072
432	2342	3067
433	2347	3061
434	2352	3056
435	2358	3050
436	2363	3045
437	2369	3039
438	2374	3034
439	2380	3029
440	2385	3024
441	2390	3017
442	2394	3010
443	2400	3005
444	2405	2999
445	2410	2994
446	2416	2989
447	2421	2983
448	2426	2977
449	2432	2972
450	2437	2967
451	2443	2962
452	2448	2956
453	2453	2951
454	2458	2944
455	2463	2939
456	2468	2933
457	2474	2927
458	2479	2922
459	2484	2916
460	2490	2911
461	2495	2906
462	2501	2900
463	2506	2895
464	2511	2889
465	2516	2883
466	2521	2878
467	2527	2872
468	2532	2867
469	2537	2861
470	2542	2855
471	2548	2850
472	2554	2845
473	2559	2840
474	2564	2834
475	2569	2828
476	2575	2823
477	2579	2817
478	2585	2812
479	2590	2806
480	2596	2801
481	2601	2796
482	2607	2790
483	2612	2785
484	2618	2780
485	2623	2774
486	2628	2769
487	2634	2763
488	2639	2758
489	2645	2753
490	2650	2747
491	2656	2742
492	2661	2736
493	2666	2731
494	2672	2726
495	2677	2720
496	2683	2715
497	2688	2710
498	2693	2704
499	2699	2699
500	2705	2694
501	2710	2688
502	2716	2683
503	2721	2678
504	2726	2672
505	2732	2667
506	2737	2662
507	2743	2656
508	2748	2651
509	2753	2645
510	2758	2639
511	2763	2634
512	2769	2628
513	2774	2623
514	2779	2617
515	2784	2612
516	2790	2606
517	2795	2601
518	2800	2595
519	2806	2590
520	2811	2584
521	2816	2579
522	2821	2573
523	2826	2567
524	2832	2562
525	2837	2557
526	2842	2551
527	2847	2545
528	2853	2540
529	2859	2535
530	2864	2529
531	2869	2524
532	2875	2519
533	2879	2513
534	2884	2507
535	2890	2502
536	2895	2496
537	2900	2490
538	2904	2484
539	2910	2479
540	2915	2473
541	2920	2468
542	2925	2462
543	2931	2457
544	2936	2451
545	2941	2446
546	2947	2440
547	2952	2435
548	2957	2429
549	2963	2424
550	2968	2419
551	2974	2413
552	2979	2408
553	2984	2402
554	2989	2397
555	2994	2391
556	3000	2386
557	3005	2380
558	3010	2374
559	3015	2369
560	3020	2363
561	3025	2357
562	3029	2351
563	3034	2346
564	3040	2340
565	3044	2334
566	3050	2329
567	3055	2323
568	3060	2318
569	3065	2312
570	3070	2306
571	3074	2300
572	3080	2295
573	3084	2289
574	3089	2283
575	3095	2278
576	3100	2272
577	3106	2267
578	3111	2262
579	3116	2256
580	3123	2252
581	3128	2246
582	3133	2241
583	3138	2235
584	3144	2230
585	3149	2225
586	3154	2219
587	3160	2214
588	3165	2208
589	3170	2203
590	3176	2198
591	3181	2192
592	3187	2187
593	3192	2181
594	3197	2176
595	3203	2171
596	3208	2165
597	3213	2160
598	3219	2155
599	3224	2149
600	3229	2144
601	3235	2138
602	3240	2133
603	3246	2128
604	3251	2123
605	3256	2117
606	3262	2112
607	3267	2106
608	3273	2101
609	3278	2095
610	3282	2090
611	3287	2084
612	3293	2079
613	3298	2073
614	3304	2068
615	3309	2063
616	3314	2057
617	3320	2052
618	3325	2047
619	3331	2041
620	3336	2036
621	3341	2030
622	3346	2025
623	3352	2019
624	3357	2014
625	3362	2009
626	3367	2003
627	3373	1998
628	3378	1992
629	3384	1987
630	3389	1981
631	3394	1976
632	3400	1971
633	3405	1965
634	3410	1960
635	3415	1954
636	3421	1949
637	3427	1944
638	3432	1939
639	3437	1933
640	3443	1928
641	3448	1923
642	3454	1917
643	3459	1912
644	3465	1907
645	3470	1901
646	3475	1896
647	3481	1891
648	3486	1885
649	3492	1880
650	3497	1874
651	3503	1869
652	3508	1864
653	3513	1858
654	3518	1853
655	3524	1848
656	3530	1842
657	3535	1837
658	3541	1832
659	3546	1826
660	3552	1821
661	3557	1816
662	3562	1810
663	3567	1805
664	3572	1799
665	3578	1794
666	3583	1789
667	3588	1783
668	3594	1778
669	3598	1772
670	3603	1766
671	3608	1761
672	3613	1755
673	3618	1750
674	3623	1744
675	3628	1739
676	3633	1733
677	3638	1728
678	3644	1722
679	3649	1717
680	3654	1711
681	3660	1706
682	3664	1701
683	3669	1695
684	3674	1689
685	3679	1684
686	3684	1678
687	3690	1673
688	3695	1668
689	3700	1662
690	3706	1657
691	3711	1651
692	3716	1646
693	3722	1641
694	3727	1635
695	3733	1630
696	3738	1625
697	3743	1619
698	3749	1614
699	3755	1609
700	3760	1603
701	3765	1598
702	3771	1593
703	3776	1588
704	3782	1582
705	3787	1577
706	3793	1572
707	3798	1566
708	3804	1561
709	3809	1556
710	3815	1550
711	3820	1545
712	3826	1540
713	3831	1534
714	3837	1529
715	3843	1524
716	3848	1519
717	3853	1513
718	3859	1508
719	3865	1503
720	3870	1497
721	3876	1492
722	3881	1487
723	3887	1481
724	3893	1476
725	3897	1470
726	3903	1465
727	3908	1460
728	3914	1455
729	3919	1449
730	3924	1444
731	3930	1439
732	3936	1433
733	3941	1428
734	3947	1423
735	3953	1417
736	3958	1412
737	3964	1407
738	3969	1402
739	3974	1396
740	3980	1391
741	3985	1385
742	3991	1380
743	3997	1375
744	4002	1369
745	4008	1364
746	4013	1359
747	4019	1354
748	4024	1348
749	4029	1343
750	4035	1338
751	4041	1332
752	4047	1327
753	4052	1322
754	4057	1316
755	4063	1311
756	4069	1306
757	4075	1301
758	4080	1295
759	4085	1290
760	4091	1284
761	4096	1279
762	4102	1274
763	4108	1269
764	4114	1263
765	4119	1258
766	4125	1253
767	4130	1247
768	4135	1242
769	4140	1236
770	4145	1231
771	4151	1226
772	4156	1220
773	4162	1215
