iter	Logloss
0	0.6696681875
1	0.6484096425
2	0.6291030375
3	0.6120820211
4	0.5980562642
5	0.5851739705
6	0.572776769
7	0.5625705973
8	0.5541824697
9	0.5457623647
10	0.5385141296
11	0.5319984487
12	0.5262356211
13	0.5214536184
14	0.5171148631
15	0.5134888102
16	0.5091680806
17	0.5051282399
18	0.5018613688
19	0.4992981771
20	0.4965413717
21	0.4936008199
22	0.4914191182
23	0.489061854
24	0.4869213206
25	0.4848859609
26	0.483215215
27	0.4816155396
28	0.479801061
29	0.4782280019
30	0.4767253621
31	0.4751105499
32	0.4737953084
33	0.472658488
34	0.4711726685
35	0.4698127899
36	0.4687477773
37	0.4678095754
38	0.4667004801
39	0.4657791239
40	0.4646547597
41	0.4632811941
42	0.4624111989
43	0.4614836985
44	0.4608740489
45	0.4599201457
46	0.4591152852
47	0.4584694926
48	0.457223114
49	0.4564953613
50	0.4558673706
51	0.4549703013
52	0.4542228953
53	0.4535425618
54	0.4529850871
55	0.4520567881
56	0.4515610911
57	0.4510206909
58	0.4505885468
59	0.4499528402
60	0.449028127
61	0.4485224609
62	0.4479006297
63	0.4475558879
64	0.4467795614
65	0.4462612356
66	0.4458305613
67	0.4454885966
68	0.4450747782
69	0.4444859924
70	0.4440164541
71	0.4434004924
72	0.4429032644
73	0.442400528
74	0.4417697093
75	0.441248881
76	0.4407972616
77	0.4404079742
78	0.4401191559
79	0.4394836171
80	0.4390630798
81	0.4385734711
82	0.438255127
83	0.4379324188
84	0.4374546814
85	0.4370405172
86	0.4366681773
87	0.4362811025
88	0.4360179494
89	0.4353107096
90	0.4349991099
91	0.4346824544
92	0.433975825
93	0.433597168
94	0.4332077484
95	0.4326280314
96	0.4322465973
97	0.4316011505
98	0.4313526967
99	0.4311056671
100	0.4308380534
101	0.4304401194
102	0.430128123
103	0.4298722331
104	0.4297001546
105	0.4294515584
106	0.4292154694
107	0.4289402517
108	0.4287327627
109	0.4284619802
110	0.4281286316
111	0.4278903097
112	0.427751002
113	0.42755808
114	0.4272200979
115	0.4270397542
116	0.4267673747
117	0.4265128733
118	0.4263227946
119	0.4259128927
120	0.4256311696
121	0.425212911
122	0.4250519053
123	0.4247648519
124	0.4246174011
125	0.4244208984
126	0.4240011292
127	0.4237486674
128	0.4233143158
129	0.4230365499
130	0.4227668457
131	0.4226190694
132	0.422157903
133	0.4216699626
134	0.4213654633
135	0.4210862223
136	0.4209461212
137	0.420697403
138	0.4205535685
139	0.4204138997
140	0.4201944326
141	0.419992335
142	0.4197502696
143	0.419578715
144	0.4193656565
145	0.419066391
146	0.4189242452
147	0.4187922465
148	0.4186528829
149	0.4185098979
150	0.4183029022
151	0.4181693624
152	0.4180301514
153	0.4178023326
154	0.4176816457
155	0.4175033162
156	0.4170271301
157	0.4168639272
158	0.4167120616
159	0.41643131
160	0.4163131714
161	0.4161073151
162	0.4159511414
163	0.4158429464
164	0.4157174581
165	0.4155175985
166	0.4153159536
167	0.4152334747
168	0.415095698
169	0.414939209
170	0.4148279012
171	0.4147110189
172	0.4144932454
173	0.4143353882
174	0.4141251526
175	0.4137305959
176	0.4134623362
177	0.4133038991
178	0.413077062
179	0.4129800262
180	0.4127266134
181	0.4124684855
182	0.4123882395
183	0.4122711945
184	0.4121265259
185	0.4119915314
186	0.4116720683
187	0.4115182088
188	0.4113550415
189	0.4111207733
